,name,url,date_of_birth,place_of_birth,city_of_residence
0,אבו שחאדה סמי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1031,19/12/1975,"לוד, ישראל",תל אביב
1,אבוטבול משה,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1029,"י""ד בתמוז תשכ""ה, 14/07/1965","באר שבע, ישראל",בית שמש
2,אבידר אלי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=983,"כ""ח בכסלו תשכ""ה, 03/12/1964",מצרים,בית שמש
3,אדלשטיין יולי יואל,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1,"י""ט באב תשי""ח, 05/08/1958",אוקראינה,נווה דניאל
4,אזולאי ינון,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=970,"ט""ו בתמוז תשל""ט, 10/07/1979",ישראל,אשדוד
5,אייכלר ישראל,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=754,"ד' בניסן תשט""ו, 27/03/1955","ירושלים, ישראל",ירושלים
6,אלהרר קארין,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=860,"כ""ז בתשרי תשל""ח, 09/10/1977","יפו, ישראל",ראשון לציון
7,אלחרומי סעיד,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=959,10/01/1972,ישראל,שגב שלום
8,אלקין זאב,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=768,"ח' בניסן תשל""א, 03/04/1971","חרקוב, ברית המועצות",ירושלים
9,אמסלם דוד,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=912,"י""ח באב תש""כ, 11/08/1960","ירושלים, ישראל",מעלה אדומים
10,אקוניס אופיר,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=830,"כ""ו באייר תשל""ג, 28/05/1973",ישראל,תל אביב
11,ארבל משה,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1008,"כ""א בטבת תשמ""ד, 26/12/1983","פתח תקווה, ישראל",פתח תקווה
12,אשכנזי גבי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=989,"כ""ב באדר תשי""ד, 25/02/1954","מושב חגור, ישראל",כפר סבא
13,אשר יעקב,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=861,"ב' בתמוז תשכ""ה, 02/07/1965","רמת-גן, ישראל",בני ברק
14,בוסו אוריאל,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1039,"ט""ז באלול תשל""ג, 13/09/1973","רמלה, ישראל",פתח תקווה
15,ביטן דוד,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=914,"י""א בניסן תש""כ, 08/04/1960","פורליוטה, מרוקו",ראשון לציון
16,בן ברק רם,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1022,"י""א בניסן תשי""ח, 01/04/1958",ישראל,נהלל
17,בנט נפתלי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=864,"י' בניסן תשל""ב, 25/03/1972","חיפה, ישראל",רעננה
18,ברביבאי אורנה,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=980,"ו' באלול תשכ""ב, 05/09/1962","רמלה, ישראל",תל אביב
19,ברוכי אליהו,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1042,"כ' בשבט תשל""ו, 22/01/1976","ירושלים, ישראל",פתח תקווה
20,ברק קרן,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1019,"י""ב בתשרי תשל""ג, 20/09/1972","חיפה, ישראל",תל אביב
21,ברקת ניר,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=974,"י""ז בתשרי תש""כ, 19/10/1959","ירושלים, ישראל",ירושלים
22,ג`בארין יוסף,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=919,23/02/1972,"אום אל-פחם, ישראל",אום אל-פחם
23,גולן יאיר,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1027,14/05/1962,ישראל,אום אל-פחם
24,גולן מאי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1002,"כ""ד בניסן תשמ""ו, 03/05/1986","תל אביב, ישראל",תל אביב
25,גינזבורג איתן,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=981,"ו' בשבט תשל""ז, 25/01/1977",ארגנטינה,רעננה
26,גלנט יואב,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=921,"כ""ה בחשוון תשי""ט, 08/11/1958","תל-אביב יפו, ישראל",עמיקם
27,גמליאל גילה,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=723,"ב' באדר תשל""ד, 24/02/1974","גדרה, ישראל",אור יהודה
28,גנץ בני,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=988,"ג' בסיוון תשי""ט, 09/06/1959","כפר אחים, ישראל",ראש העין
29,גפני משה,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=35,"ט' באייר תשי""ב, 05/05/1952","תל אביב, ישראל",בני ברק
30,דיין עוזי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1010,"כ""ב בטבת תש""ח, 04/01/1948","עפולה, ישראל",כוכב יאיר
31,דיכטר אבי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=771,"כ""ו בכסלו תשי""ג, 14/12/1952","אשקלון, ישראל",אשקלון
32,האוזר צבי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1017,"ט' בתמוז תשכ""ח, 05/07/1968","רמת גן, ישראל",תל אביב
33,הורוביץ ניצן,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=843,"כ""ב באדר תשכ""ה, 24/02/1965","רחובות, ישראל",תל אביב
34,הלוי עמית,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1044,"י""ב בסיוון תשל""א, 05/06/1971","חיפה, ישראל",ירושלים
35,הנגבי צחי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=45,"כ""ה באדר תשי""ז, 26/02/1957","ירושלים, ישראל",מבשרת ציון
36,הנדל יועז,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=997,"י""ב בסיוון תשל""ה, 22/05/1975","פתח תקווה, ישראל",נס הרים
37,השכל שרן מרים,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=950,"א' בניסן תשמ""ד, 03/04/1984","טורונטו, קנדה",כפר סבא
38,וונש מיכל,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1036,"כ' בכסלו תשל""א, 18/12/1970","ירושלים, ישראל",רעננה
39,זוהר מכלוף מיקי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=922,"י""א בניסן תש""מ, 28/03/1980","באר-שבע, ישראל",קריית גת
40,זנדברג תמר,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=871,"כ""ט בניסן תשל""ו, 29/04/1976","רמת-גן, ישראל",תל אביב
41,ח'טיב יאסין אימאן,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1032,23/10/1964,ישראל,יפיע
42,חיימוביץ' מיקי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1005,"י""ג בסיוון תשכ""ב, 15/06/1962","תל אביב, ישראל",תל אביב
43,חסיד אליהו,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1041,"י""ט בחשוון תשל""ז, 12/11/1976",ישראל,תל אביב
44,טאהא ווליד,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1026,07/09/1968,"פתח תקווה, ישראל",כפר קאסם
45,טופורובסקי בועז,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=872,"ד' באב תש""מ, 17/07/1980","ראשון לציון, ישראל",נס ציונה
46,טיבי אחמד,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=208,19/12/1958,ישראל,טייבה
47,טייב יוסף,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1043,"י""א באדר תשמ""א, 15/02/1981","פריז, צרפת",קריית יערים
48,טסלר יעקב,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=996,"כ""ז בסיוון תשל""ג, 27/06/1973","ירושלים, ישראל",אשדוד
49,יברקן דסטה גדי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=990,"כ""ה בטבת תשמ""א, 01/01/1981",אתיופיה,רחובות
50,יזבק היבה,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=991,08/07/1985,ישראל,נצרת
51,ינקלביץ' עומר,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1012,"י""ח באייר תשל""ח, 25/05/1978",ישראל,נצרת
52,יעלון משה,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=823,"ט' בתמוז תש""י, 24/06/1950",ישראל,מכבים-רעות
53,כהן אלי אליהו,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=928,"כ""ה בתשרי תשל""ג, 03/10/1972","חולון, ישראל",חולון
54,כהן יצחק,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=65,"ב' בתשרי תשי""ב, 02/10/1951","אשקלון, ישראל",אשקלון
55,כהן מאיר,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=874,"ל' בחשוון תשט""ז, 15/11/1955","מוגדור, מרוקו",דימונה
56,כהן מירב,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1006,"י""ז באלול תשמ""ג, 26/08/1983","ירושלים, ישראל",ירושלים
57,כהנא מתן,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1030,29/07/1972,"חיפה, ישראל",בית גמליאל
58,כמאל מריח ע'דיר,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1020,"כ""א בסיוון תשמ""ד, 21/06/1984","חיפה, ישראל",דאלית אל-כרמל
59,כסיף עופר,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1013,"כ' בטבת תשכ""ה, 25/12/1964","ראשון לציון, ישראל",רחובות
60,כץ אופיר,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=976,"ד' בסיוון תש""מ, 19/05/1980","עפולה, ישראל",עפולה
61,כץ חיים,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=212,21/12/1947,גרמניה,שוהם
